	0
648	DIAPH1
649	SLC25A18
650	ANKS1B
651	OAF
652	UNC13A
653	ATP11A-AS1
654	SNTG2-AS1
655	LARP6
656	AL359436.1
657	CR2
658	RAPGEF6
659	ISOC1
660	LINC02516
661	BTN2A1
662	FAM230H
663	AC003986.3
664	AL022067.1
665	AC091730.1
666	DNM3
667	AF127577.3
668	CACNA1G
669	CD24
670	AC073389.2
671	AF196972.1
672	AL451123.1
673	AP000281.2
674	LRCH3
675	IGHV3-73
676	FGF10
677	BLNK
678	AC092943.2
679	AL354696.1
680	PANTR1
681	AL033543.1
682	PRMT8
683	SPATS2L
684	PI4K2B
685	PPP1R13L
686	AL158212.5
687	AC008073.2
688	ITGAV
689	PRKD3
690	AC026124.2
691	BX284668.5
692	AC010359.3
693	RPA2
694	TMSB15B-AS1
695	AL050404.1
696	HAND2
697	CRTC1
698	PPP2R3C
699	AC005304.1
700	AL358134.1
701	ZC3H7A
702	MS4A6A
703	CARD10
704	AC134312.4
705	MAP2
706	C2orf69
707	AC098934.4
708	AC005753.2
709	PER1
710	AP3B1
711	AC005330.1
712	AC004771.3
713	IRF2BP2
714	CRBN
715	INSYN1
716	TGFB3-AS1
717	AC015849.4
718	AC103770.1
719	AC010680.5
720	HIGD2B
721	ZNRF2
722	SLC9A4
723	AC009171.2
724	AL136171.2
725	AC140847.2
726	WIPF1
727	A1BG
728	AL135818.3
729	AL606489.1
730	CEP250
731	OR3A1
732	ATAD1
733	AL136320.1
734	AL603839.2
735	MR1
736	PI4K2A
737	IGFL2
738	SYNPO2
739	AP006545.2
740	CLPX
741	POTEG
742	AP000229.1
743	SNX18
744	AC011379.1
745	NOTCH2NLC
746	GTF2A1
747	DUSP6
748	LINP1
749	SERTAD2
750	TNR
751	AC074032.1
752	LINC01999
753	TTTY9B
754	PSME4
755	CPNE9
756	SENP1
757	THAP3
758	CNDP1
759	AL357673.2
760	RMDN2
761	SPINK4
762	CHD9
763	WIF1
764	AC011029.1
765	GKN1
766	PARP11
767	PPIP5K2
768	PPM1A
769	NSMCE2
770	LEMD3
771	CCDC170
772	AC092969.1
773	AC093274.1
774	GPR26
775	NLRP4
776	RNF144A-AS1
777	PNMA1
778	MIOS
779	RBMS3-AS3
780	AC011317.1
781	SPRR2B
782	CAVIN2
783	RP2
784	AL606534.1
785	AC009315.1
786	TBPL2
787	SNTA1
788	DISC1-IT1
789	L34079.3
790	UBR4
791	AC126365.1
792	COG5
793	AP000254.2
794	GZMB
795	AP001066.1
796	IL22RA2
797	SRBD1
798	AL391117.1
799	TLE2
800	AC008731.1
801	WT1
802	HAVCR1
803	IDS
804	NPY4R2
805	NUDT17
806	GDPD5
807	CREBL2
808	PRKAA1
809	ABHD10
810	MTRES1
811	AC024603.1
812	ELAVL4
813	AC092979.1
814	TREML4
815	AL138701.2
816	AL356019.1
817	PMM1
818	AL592429.2
819	AC026956.2
820	GAU1
821	AC005550.2
822	AC138028.5
823	NBPF9
824	C14orf119
825	PKDCC
826	TTC8
827	HCG11
828	SHH
829	AC079848.1
830	CAMKV
831	GOLGA8N
832	ZFPL1
833	AL590666.5
834	AC024257.5
835	EGR4
836	AC011586.1
837	CFAP44-AS1
838	AC124290.1
839	TTTY14
840	ZNF608
841	BBS7
842	AC013565.3
843	MMP19
844	SPINDOC
845	AC007494.2
846	STX1A
847	SYT8
848	AC034213.1
849	ADORA2B
850	SLC22A18AS
851	AC009081.1
852	AL157831.3
853	FAM20A
854	AC008771.1
855	NEIL3
856	SMIM19
857	SLC47A1
858	SIGLEC5
859	SCIMP
860	ITCH-AS1
861	UBL4B
862	ALDH1L1
863	AC023355.1
864	ZNF683
865	AC006111.3
866	AKAP1
867	SLC25A48
868	GPRC5A
869	LINC02315
870	TMEM80
871	GINS2
872	BCO2
873	AC008969.1
874	ALG8
875	ETF1
876	LINC01509
877	PM20D1
878	BMP7-AS1
879	EMILIN2
880	AL844908.1
881	KIF21A
882	STRA8
883	AC092666.1
884	DLST
885	AL358215.1
886	NNAT
887	FAM214A
888	AP005432.2
889	GLI1
890	HECTD2
891	IBSP
892	MYO7A
893	WDFY3
894	AP001330.5
895	LINC01389
896	AL354754.1
897	AL022326.1
898	TNNT1
899	DHCR7
900	SLC36A2
901	AL139240.1
902	AP001596.2
903	DLC1
904	AC010809.1
905	PTGFR
906	AP001790.1
907	PLEKHA7
908	AC243547.2
909	AL590666.4
910	BGLAP
911	IPO8
912	LINC00871
913	AC008764.2
914	NR3C2
915	FOXR1
916	ADH1C
917	BCL7A
918	SMPDL3A
919	NSD3
920	AL357075.3
921	LINC02626
922	AC068722.2
923	AC009123.1
924	LY6G6C
925	USP47
926	AC083864.5
927	YEATS2-AS1
928	M1AP
929	AL354892.1
930	RTRAF
931	AC022201.2
932	FAM111A
933	ZNF879
934	REV3L
935	AC116158.2
936	IDH2
937	ZNF738
938	SLC5A8
939	ADAM29
940	AC007317.1
941	AC012625.1
942	YWHAG
943	AL158196.1
944	ENOX2
945	AIF1
946	AC006329.1
947	AL117335.1
948	AC099506.3
949	FIGNL2
950	HOXB5
951	IL20RA
952	AL358053.1
953	SACM1L
954	LINC01840
955	VKORC1L1
956	RASSF4
957	AC114956.1
958	AL162734.1
959	AC025181.2
960	AC137579.1
961	LINC02057
962	TEX28
963	AC016526.4
964	BCDIN3D-AS1
965	TTC33
966	YTHDC2
967	ISL2
968	USP24
969	CR936218.1
970	KBTBD7
971	AC019254.1
972	VPREB3
973	AC024619.3
974	LINC02742
975	LCN6
976	PRSS56
977	GLYATL1
978	PROM2
979	ITPK1
980	CLTC
981	RPE
982	AC110023.1
983	AC093904.3
984	AC091729.3
985	IPMK
986	AC093307.1
987	TRAV40
988	CACNA1C-IT1
989	RAD9B
990	THEM6
991	AL671710.1
992	CHRNA1
993	AC024270.4
994	AC087564.1
995	SFTPB
996	AC010642.2
997	AC244035.1
998	AC026254.2
999	AC069209.2
1000	PRAG1
1001	NDC1
1002	AC090774.2
1003	PLCXD2-AS1
1004	PLS3-AS1
1005	ZEB1-AS1
1006	AP001178.2
1007	ZNF225
1008	AL606807.1
1009	STK33
1010	AC092368.3
1011	LINC01357
1012	SFRP2
1013	ADRA2A
1014	AC016738.1
1015	ELMO1-AS1
1016	AC093801.1
1017	TEC
1018	MYNN
1019	COL4A3
1020	AC011751.1
1021	RASGRP2
1022	OXT
1023	AC093240.1
1024	SPG21
1025	FUT10
1026	SLC25A4
1027	IL3RA
1028	AC078916.1
1029	LRCOL1
1030	SLC7A8
1031	VSIG4
1032	AL359552.1
1033	TDG
1034	FLAD1
1035	AL596202.1
1036	AC097359.3
1037	GPR146
1038	AC079070.1
1039	ZNF512
1040	ZFP90
1041	AC087749.1
1042	LINC02818
1043	PTTG1
1044	AC055764.2
1045	AC234917.3
1046	U91328.3
1047	AC067969.2
1048	S100Z
1049	GMNC
1050	CLCN5
1051	RALGDS
1052	CNIH2
1053	ZC3H12C
1054	ARPC2
1055	AL035670.1
1056	C3AR1
1057	TGFA
1058	TMEM126A
1059	AC007292.1
1060	LINC02593
1061	AC007998.3
1062	AL139274.2
1063	AC106743.1
1064	LBX2-AS1
1065	GSTM5
1066	AC090826.3
1067	FANCC
1068	AC068473.3
1069	KDM1A
1070	NEU4
1071	KIAA1257
1072	PDGFRA
1073	IL20RB-AS1
1074	AC092155.1
1075	AC091912.3
1076	EIF2AK3
1077	AC091965.4
1078	TSPEAR-AS2
1079	TTC21B-AS1
1080	WDFY3-AS2
1081	AC034111.1
1082	AC004023.1
1083	LINC01138
1084	AC026803.1
1085	NUSAP1
1086	AC108156.1
1087	AP002954.2
1088	VIPR2
1089	AC009560.1
1090	SMYD3-IT1
1091	AC022916.4
1092	PSPC1-AS2
1093	AL138731.1
1094	ARHGEF9
1095	PLK3
1096	PML
1097	AC013270.1
1098	MGAT4D
1099	MLIP-AS1
1100	C6orf120
1101	SETX
1102	NEK2
1103	AL008636.1
1104	CAPZA1
1105	KISS1R
1106	ANKZF1
1107	HYI
1108	PUS1
1109	FAR1
1110	SPRED1
1111	NRP1
1112	DTWD2
1113	CDH24
1114	LINC00310
1115	AC099541.1
1116	KCNIP3
1117	AP001318.1
1118	AC024361.2
1119	ACBD3
1120	LRRC63
1121	SYCP1
1122	AC093334.1
1123	FAM87A
1124	RFT1
1125	BTBD9
1126	EPN2
1127	PDLIM4
1128	AC021237.1
1129	ISM1
1130	NPIPA9
1131	TAL2
1132	AC113382.2
1133	AL136981.3
1134	TSIX
1135	GPBP1L1
1136	ZBTB34
1137	SLC52A2
1138	TRBV5-6
1139	LINC01703
1140	AL807742.1
1141	C15orf39
1142	E4F1
1143	SFT2D1
1144	RCAN3AS
1145	AC096992.3
1146	SCAF8
1147	ZNF254
1148	AC016644.1
1149	NEIL2
1150	AC106739.1
1151	ABCB4
1152	AC125494.2
1153	NGFR
1154	PTPN4
1155	AC107029.2
1156	MAPK1
1157	RCOR3
1158	AC087222.1
1159	SLC31A2
1160	AC092078.2
1161	KLHL38
1162	MEDAG
1163	TBC1D17
1164	TFAP2C
1165	AC006111.2
1166	AC084757.3
1167	LINC01609
1168	ZNF180
1169	OR2AG2
1170	TECTA
1171	SCUBE1
1172	SIRPB1
1173	AC004160.1
1174	ZNF680
1175	LINC02032
1176	EXOC1
1177	CACNA1C-AS1
1178	GRN
1179	PKIG
1180	ZNF32-AS2
1181	AC015660.5
1182	AC025580.1
1183	AL365394.1
1184	HOOK3
1185	TTC30A
1186	DNM1L
1187	SNX2
1188	VWF
1189	GOSR2
1190	MCFD2
1191	MISP
1192	HSPB8
1193	MERTK
1194	ASH1L-IT1
1195	HAMP
1196	AP001547.1
1197	GTSE1-DT
1198	NECTIN3-AS1
1199	EFCAB3
1200	AC005324.5
1201	AC009411.1
1202	OR2I1P
1203	AP003785.1
1204	CYB5R4
1205	TET2
1206	AC007750.1
1207	AC015712.4
1208	AC104134.1
1209	GLB1L2
1210	TBXT
1211	PLXDC2
1212	COQ9
1213	LINC01511
1214	AC100791.3
1215	AC026620.2
1216	AC037450.1
1217	NACC1
1218	FTCD
1219	ERLIN2
1220	AC005343.1
1221	HACD2
1222	RTN1
1223	DYNLRB2
1224	BCAS3
1225	MAGEL2
1226	AC018643.1
1227	MT1G
1228	LNPEP
1229	ARAP3
1230	TBCC
1231	BX119904.2
1232	KIAA0232
1233	LINC01527
1234	AREL1
1235	ZNF223
1236	AL590560.2
1237	FAM122A
1238	AL136115.1
1239	AC115989.1
1240	PRB1
1241	MACROD2
1242	LINC02432
1243	TBC1D14
1244	AC010542.4
1245	AC011472.2
1246	CERT1
1247	ATP11C
