	0
656	AC073896.5
657	ZAR1L
658	AC104982.2
659	AL080275.1
660	AC116348.3
661	SYNGAP1
662	PDZRN4
663	AL583722.4
664	BAIAP3
665	RIPK1
666	AC093802.2
667	AC120498.2
668	DIO3
669	ACAD8
670	TMEM125
671	AL136038.5
672	C1orf216
673	TMSB15A
674	CD207
675	AC025283.2
676	ZNF426-DT
677	ARHGEF5
678	LINC00536
679	SDHAF4
680	KRT81
681	AL359397.2
682	GSG1L
683	UBE3B
684	CCDC148
685	AL355816.2
686	PTPRD
687	TNFRSF8
688	WASHC1
689	EIF2A
690	CRP
691	CDKN2A-DT
692	ASTE1
693	AL392046.1
694	AC011632.1
695	AC008121.3
696	AC018521.5
697	QRICH1
698	AC026495.2
699	CPAMD8
700	ITIH1
701	AF127577.1
702	ENTPD8
703	PTPN14
704	DAZL
705	AC007391.1
706	RAB24
707	IGSF9B
708	LINC02552
709	SPDYE3
710	CA5B
711	CHDH
712	ECE1
713	UPF1
714	LINC01913
715	AC016571.1
716	SAMD3
717	DNTTIP2
718	AL357079.2
719	AC022035.1
720	AL139819.1
721	B2M
722	N4BP1
723	GSN
724	AL035665.2
725	SLC43A1
726	THPO
727	ZNF511
728	DNASE2B
729	AC003973.1
730	ZFP36
731	AC004947.3
732	CD247
733	MIR381HG
734	ZFP36L1
735	CDHR5
736	TTI1
737	AL031055.1
738	SMIM3
739	AL136038.3
740	AL354743.2
741	AC090061.1
742	LINC02709
743	CST6
744	AC244472.1
745	AF111169.4
746	TRIM21
747	LINC01534
748	AC010273.3
749	TMEM25
750	ELAC1
751	SHISA8
752	CDC42BPB
753	CIRBP
754	FST
755	KCNE1B
756	AC093585.1
757	AC007671.1
758	DIP2C
759	ERLEC1
760	AADACL4
761	DPY19L1
762	AL357556.4
763	PNRC1
764	AHCTF1
765	KAZALD1
766	ATF6B
767	CYP2J2
768	TIMM17A
769	ZNF573
770	CD200
771	AL359916.1
772	TRIP13
773	WNT9B
774	SERPINH1
775	AC010329.1
776	FAAH2
777	AC060834.2
778	SLC25A52
779	TNFRSF10B
780	CDC7
781	AQP12B
782	SLC25A28
783	AL442067.2
784	AC087645.4
785	BRICD5
786	AP005203.1
787	AC068338.2
788	FASTK
789	PKP4-AS1
790	LINC01362
791	AC004816.1
792	AC018845.1
793	ARPC3
794	PPP1R12C
795	AC091132.2
796	AL844892.2
797	LIN9
798	EGR3
799	PCDHGB1
800	PI16
801	STYK1
802	LINC01381
803	CCL28
804	TMEM51-AS1
805	AC124893.1
806	ZNF32-AS2
807	MAL2
808	TIMM8A
809	AC113410.2
810	PHACTR1
811	TMEM128
812	AC109466.1
813	NOSTRIN
814	AP001434.1
815	KNSTRN
816	COPZ2
817	MAP3K13
818	SH2D1B
819	AL929091.1
820	ADAM15
821	AC211433.1
822	AC027097.2
823	AC010332.3
824	LINC00346
825	CLDN19
826	SLIT3
827	GALT
828	PGRMC1
829	AC018521.6
830	ZDHHC23
831	AL591895.1
832	PLET1
833	F9
834	AC087164.1
835	CASP14
836	ZER1
837	LINC02175
838	ISOC2
839	AC078925.1
840	AP005136.3
841	MIER2
842	ZNF215
843	CYP2A6
844	SAP30
845	ARHGAP44
846	MKNK1
847	C12orf45
848	NPFFR2
849	SNRNP200
850	ZNF827
851	BX005040.1
852	SMIM10L1
853	NHSL2
854	FPR2
855	RNF20
856	HSFY2
857	TRIM6
858	AL121990.1
859	MFNG
860	XG
861	AC023790.2
862	AC093158.1
863	IRX3
864	PRXL2B
865	NOTO
866	AC018442.2
867	GIMAP4
868	EPB41L2
869	PSMB7
870	AL592114.3
871	LINC01733
872	TRAF4
873	SLC35A3
874	LINC00507
875	CA5A
876	AL139288.1
877	AP002961.1
878	AL391261.2
879	NANOGNB
880	LRRC27
881	NDOR1
882	AL138976.2
883	NDRG3
884	MAPK3
885	LINC01551
886	SLC6A3
887	CTRB2
888	AC022893.3
889	BFSP2
890	HAVCR2
891	PCSK1N
892	MAPK6-DT
893	XRN2
894	FAM214B
895	PGAP3
896	AC005696.3
897	CLDN24
898	SFT2D1
899	ZNRF3-IT1
900	CABCOCO1
901	LINC02823
902	SLC25A20
903	AC119428.2
904	CACNG1
905	TMEM59
906	AC044810.2
907	AC016405.2
908	AL138731.1
909	MAPK8IP2
910	FAM66E
911	ZNF649-AS1
912	AL137847.2
913	SULT1A3
914	PTGER1
915	AC103591.3
916	AC234582.1
917	MYH3
918	GRK5-IT1
919	USP44
920	LINC02827
921	RAPGEF6
922	IL16
923	ZBTB5
924	AC073283.1
925	AC117488.1
926	AMPD1
927	SPIRE2
928	AL020996.1
929	LINC02697
930	C18orf54
931	PDCL
932	CCDC187
933	TBC1D4
934	ADM5
935	SAMD15
936	AC084277.1
937	AC093849.4
938	SIRPB1
939	LASP1
940	FAM221A
941	SYT5
942	FAM78B
943	AL132982.1
944	AC055839.2
945	MORF4L2
946	AC005614.1
947	AC104984.3
948	N4BP2L2-IT2
949	ALOX15B
950	GRK5
951	OSM
952	FP565260.1
953	LIMK2
954	TMBIM6
955	LIMA1
956	REXO4
957	AL391425.1
958	MAML1
959	LINC01242
960	SGCG
961	TMIGD2
962	TMEM78
963	ZNF474
964	NPHP1
965	MRPL28
966	DDX54
967	AL035694.1
968	COPS6
969	ANK2
970	PPM1H
971	PYM1
972	NDUFAF6
973	AC104458.1
974	GRIA2
975	ZFP30
976	CLTB
977	KIAA1614-AS1
978	FABP2
979	DCUN1D1
980	MAMSTR
981	LSM4
982	PLXNA4
983	NAV3
984	UCHL3
985	AC011611.4
986	SLC7A14-AS1
987	Z97653.1
988	AC006064.5
989	MAPK8IP1
990	AL356215.1
991	LDLR
992	AL359878.1
993	AC073508.3
994	LINC02176
995	GSDMB
996	SLC22A25
997	RBM48
998	AP004608.1
999	GDAP1L1
1000	CDADC1
1001	KAT2B
1002	AC087301.1
1003	LINC02848
1004	LINC01142
1005	FAM245A
1006	HDAC8
1007	AC012625.1
1008	ARMC8
1009	AP001636.3
1010	LINC02504
1011	MOG
1012	AC007998.4
1013	KIFC2
1014	LINC02539
1015	MVP
1016	ZBTB47
1017	SMIM38
1018	BUB1
1019	AC008429.3
1020	SKA3
1021	AF038458.3
1022	CACNG5
1023	AC112484.1
1024	STX17
1025	AL157387.1
1026	AC007376.2
1027	AC007557.2
1028	ABHD14A
1029	Z95114.2
1030	AC110716.2
1031	MYO3B-AS1
1032	TAPT1-AS1
1033	AP000777.2
1034	AP001781.1
1035	Z73429.1
1036	PSMD4
1037	SEPTIN9-DT
1038	AC093797.1
1039	LARP1B
1040	LOXL1-AS1
1041	LINC02437
1042	GAL3ST1
1043	LINC00649
1044	CELSR2
1045	SH3GLB1
1046	PPCS
1047	ZNF565
1048	POGZ
1049	AC034139.1
1050	HBG2
1051	GTPBP10
1052	AC007953.2
1053	RHNO1
1054	AL365215.2
1055	EEF2
1056	DYRK1A
1057	RAB11B
1058	APOBEC3A
1059	AC005674.1
1060	UTRN
1061	MTRNR2L5
1062	AP004609.3
1063	AC025271.4
1064	SKAP1
1065	VASH1-AS1
1066	LTBP3
1067	RUNX1
1068	AC021683.2
1069	AC079385.1
1070	HOXB3
1071	SLC29A2
1072	AP003117.1
1073	AC005064.1
1074	ZNF853
1075	AL133445.3
1076	ALKBH4
1077	TMEM191B
1078	CLNK
1079	CASP4
1080	AC069366.2
1081	AL049647.1
1082	CLEC18A
1083	ITGAE
1084	CA2
1085	KRT24
1086	MPPED1
1087	FOXO4
1088	BEND4
1089	RTN2
1090	GSN-AS1
1091	PEX6
1092	FBLL1
1093	FAM151B
1094	KDM4A-AS1
1095	AL132639.3
1096	AC005759.1
1097	CACNA1I
1098	LINC01138
1099	LRRC49
1100	AL136129.1
1101	OVCH1
1102	AC007036.5
1103	ZNF182
1104	GTF2H1
1105	AL596223.2
1106	PATZ1
1107	SHISA3
1108	AL512506.1
1109	POLR2H
1110	GNPNAT1
1111	PLA2G6
1112	PLPP3
1113	PARP16
1114	TAPBPL
1115	AL157762.1
1116	KLRF2
1117	C12orf73
1118	LIN52
1119	XKR8
1120	KCNT2
1121	AL596223.1
1122	AL157373.2
1123	FP236315.1
1124	LINC01303
1125	AC027277.2
1126	SCMH1
1127	AL023495.1
1128	SERPINA10
1129	AL590064.1
1130	NPY2R
1131	PBK
1132	ZNF586
1133	AL121929.3
1134	LINC01555
1135	FAM227B
1136	ELMOD2
1137	MAFA-AS1
1138	PPP6R1
1139	AC091059.1
1140	CDKN2AIP
1141	ERMAP
1142	AC092542.1
1143	PLA2G2C
1144	IGLC2
1145	CDRT8
1146	FAM170A
1147	CDKN2B-AS1
1148	PTGDS
1149	LRRC43
1150	ZNF831
1151	AC010285.1
1152	ZC3H11A
1153	ZDHHC19
1154	DALRD3
1155	AL360020.1
1156	AC100793.3
1157	AL080313.2
1158	AC090541.1
1159	GRIN3B
1160	SLC22A17
1161	RERG
1162	STRN3
1163	IPO13
1164	AC009088.2
1165	MYBPC3
1166	C19orf12
1167	NR2E3
1168	AC108174.1
1169	Z69733.1
1170	AP002812.3
1171	AL691447.2
1172	AL358394.1
1173	ICAM5
1174	MAPK13
1175	CLN6
1176	AC006329.1
1177	SUV39H1
1178	AC091185.1
1179	CCDC157
1180	RPS27
1181	AL138921.2
1182	ADI1
1183	LINC01533
1184	AC055758.2
1185	AC007834.1
1186	AC092849.1
1187	EEF1AKMT1
1188	AC099332.2
1189	SLAMF7
1190	IRX1
1191	BCAP31
1192	REEP3
1193	MTA1
1194	TMEM185A
1195	AP001033.3
1196	DNAL1
1197	MIR4435-2HG
1198	CCZ1
1199	AP005136.4
1200	MAB21L3
1201	PPP1R17
1202	DBX2
1203	AC010336.2
1204	AC003101.2
1205	AC107953.2
1206	AL136379.1
1207	AIFM2
1208	DDB2
1209	RIPOR2
1210	GBX1
1211	APEH
1212	ARPC5L
1213	IPO8
1214	RAPGEFL1
1215	TMIGD3
1216	LARGE-IT1
1217	AC131011.1
1218	C3orf80
1219	ATG10-IT1
1220	AC009879.4
1221	KCNG4
1222	LIPF
1223	AC007849.1
1224	AC092567.2
1225	LINC02287
1226	AF181450.1
1227	MAPKAP1
1228	LINC00703
1229	EFNA4
1230	TRAV12-3
1231	RPS4X
1232	NOL12
1233	MYPN
1234	RND1
1235	ZNF708
1236	MCM10
1237	AL390860.1
1238	AC009053.3
1239	MAGEF1
1240	MAN2B2
1241	HYLS1
1242	IGKV2-24
1243	TMEM86B
1244	HES4
1245	CSNK2A3
1246	HOXB7
1247	NUDT4B
1248	ABCB11
1249	LINC01209
1250	LINC02683
